City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Atbasar,KZ,66.85,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
331,Rumboci,BA,60.84,broken clouds,43.8322,17.5011,Mediteran B&B
333,Ampanihy,MG,70.16,broken clouds,-24.7,44.75,Angora Hotel
334,Leeton,AU,50.9,overcast clouds,-34.5667,146.4,Hydro Hotel
335,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
336,Mikhaylovka,RU,83.79,few clouds,50.06,43.2379,5 Komnat
337,Ferme-Neuve,CA,78.4,clear sky,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
338,Cananeia,BR,59.77,moderate rain,-25.0147,-47.9267,Pousada Ancoradouro
339,Manggar,ID,81.72,overcast clouds,-2.8833,108.2667,Guest Hotel
341,Nuuk,GL,41.61,fog,64.1835,-51.7216,Vandrehuset
343,Saint-Joseph,RE,66.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
344,Springbok,ZA,51.15,broken clouds,-29.6643,17.8865,Undulata Country Lodge
345,Pataias,PT,75.92,few clouds,39.6698,-8.9958,Land's Hause Bungalows
347,Iwanai,JP,65.89,broken clouds,42.9744,140.5089,いわない高原ホテル
348,Katsuura,JP,80.69,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
349,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
350,Araruna,BR,77.83,scattered clouds,-6.5583,-35.7417,Pousada AFINK
